ID;DISCIPLINA;ARGOMENTO;SUBARGOMENTO;COMANDO;ESERCIZIO;LIVELLO;SOLUZIONE;TIPO
0;Matematica;sistemi_lineari;a_metodo_sostituzione;Risolvere il seguente sistema con il metodo di sostituzione:;"$\left\{\begin{array}{l}
2 x-5 y=7 \\
x-3 y=1
\end{array}\right.$";1;"$[(16; 5)]$";A
1;Matematica;sistemi_lineari;a_metodo_sostituzione;Risolvere il seguente sistema con il metodo di sostituzione:;"$\left\{\begin{array}{l}
5 x+y=20 \\
5 x+7 y=20
\end{array}\right.$";1;"$[(4; 0)]$";A
2;Matematica;sistemi_lineari;a_metodo_sostituzione;Risolvere il seguente sistema con il metodo di sostituzione:;"$\left\{\begin{array}{l}
2 x-y=7 \\
4 x+3 y=4
\end{array}\right.$";1;"$(5/2; -2)$";A
3;Matematica;sistemi_lineari;a_metodo_sostituzione;Risolvere il seguente sistema con il metodo di sostituzione:;"$\left\{\begin{array}{l}
(x-2)^{2}+(y-1)(y+1)=x^{2}+y^{2}+3 \\
(x-3 y)(x+3 y)-x^{2}+3 y=4-9 y^{2}-2 x
\end{array}\right.$";2;"$(0;4/3)$";A
4;Matematica;sistemi_lineari;a_metodo_sostituzione;Risolvere il seguente sistema con il metodo di sostituzione:;"$\left\{\begin{array}{l}
x-2=\dfrac{y}{3}-1+\dfrac{x}{2} \\
\dfrac{5 x+3 y}{6}-3=\dfrac{2 x-y}{4}+\dfrac{7}{12}
\end{array}\right.$";2;"$[(4; 3)]$";A
5;Matematica;sistemi_lineari;a_metodo_sostituzione;Risolvere il seguente sistema con il metodo di sostituzione:;"$\left\{\begin{array}{l}
\dfrac{x-2}{5}-\dfrac{2 y-1}{3}=\dfrac{x+y}{15} \\
\dfrac{1}{3} x-2 y=1
\end{array}\right.$";2;"$(-27; -5)$";A
6;Matematica;sistemi_lineari;a_problemi;Risolvere il seguente problema usando i sistemi lineari:;Un automobilista percorre $615$ km in due giorni. Sapendo che il tragitto del primo giorno è doppio di quello del secondo giorno, trova quanti km ha percorso ogni giorno.;1;"$[410 km; 205 km]$";A
7;Matematica;sistemi_lineari;a_problemi;Risolvere il seguente problema usando i sistemi lineari:;Una scatola contiene forchette a 2 e a 3 punte. Sapendo che le forchette in totale sono $22$ e che le punte in totale sono $54$, calcola quante sono le forchette a 2 punte e quante quelle a 3.;1;"$[12; 10]$";A
8;Matematica;sistemi_lineari;a_problemi;Risolvere il seguente problema usando i sistemi lineari:;Lucia e Elena sono sorelle. La somma delle loro età è $31$ e Lucia è nata tre anni prima di Elena. Quanti anni ha ciascuna?;1;"$[17; 14]$";A
9;Matematica;espressioni_letterali;a;Calcolare la seguente espressione:;$(x+2 y)^{3}-x(x+2 y)^{2}-2 x y(x+4 y)$;2;;A
